,errors
148,13.18887661587158
149,13.166622484851015
150,13.151330871425271
151,13.136657576349235
152,13.032506631904413
153,12.98415046420117
154,12.952725848417852
155,12.532803611515126
156,12.4930560699366
157,12.488066668935753
158,12.48142251483023
159,12.479225991591031
160,12.438008629003887
161,12.425963490213217
162,12.401605691939613
163,12.387013558171283
164,12.34886415981287
165,12.322615104175608
166,12.31317882641901
167,12.311529919738948
168,12.309997408693436
169,12.299217611384158
170,12.094439806455645
171,11.999333312583863
172,11.970104506804653
173,11.968620713460673
174,11.963181280589419
175,11.957934864702857
176,11.933535593516828
177,11.932378870426456
178,11.924006052428863
179,11.922981924112625
180,11.892887132560167
181,11.884968998200696
182,11.851789471440506
183,11.845723796735712
184,11.841714726538026
185,11.825120399174335
186,11.789145053935725
187,11.61797630682279
188,11.589265883694575
189,11.566890496858758
190,11.480848463532098
191,11.48058201886618
192,11.42374328723951
193,11.417200699468982
194,11.411663058548884
195,11.35488391219753
196,10.91487410871664
197,10.790715184687604
198,10.784925001503842
199,10.780810995064774
200,10.668740025305222
201,10.666281356004443
202,10.512884294215224
203,10.511370437251838
204,10.504126823206596
205,10.500197075897441
206,10.388017784573002
207,10.31430345108386
208,10.191903379333546
209,10.15784014480512
210,10.032992591475528
211,10.015468929370309
212,10.01544872350621
213,10.007806615762492
214,9.989755586507023
215,9.967486357416375
216,9.95839023541751
217,9.947645910956656
218,9.947361524147349
219,9.933698017491041
220,9.92045032092095
221,9.900320391587641
222,9.846156023346886
223,9.845825980102921
224,9.8144756234364
225,9.814394689109633
226,9.812405501664493
227,9.809258156436588
228,9.808819033681885
229,9.780891429594774
230,9.778491426752474
231,9.703832139195578
232,9.69194546350971
233,9.691857292957945
234,9.328872851645357
235,9.320682220402748
236,9.31356068017931
237,9.31166454136868
238,9.266742135804568
239,9.23094059004085
240,9.093394584183951
241,9.0857452911884
242,9.069450249316812
243,9.067330990484344
244,9.036710638001216
245,9.024534904057369
246,9.024534859152446
247,8.901427047782484
248,8.89903886226787
249,8.899027694448733
250,8.892056018140607
251,8.800601176438393
252,8.798934272966617
253,8.797442136246259
254,8.74510485517588
255,8.704547323200932
256,8.652092514104297
257,8.646637545332222
258,8.630055166417028
259,8.626840052923033
260,8.623319894839044
261,8.268231606128547
262,8.252596170929483
263,8.248971331040856
264,8.24788449879948
265,8.23980438886689
266,8.235993359011513
267,8.224678853965104
268,8.210208587482857
269,7.84043859549979
270,7.818123383857151
271,7.806335229255322
272,7.73911804636407
273,7.7390954027014
274,7.73838333107651
275,7.736937750012216
276,7.726998343630755
277,7.69736092644578
278,7.692587583993957
279,7.68656210217745
280,7.60461222378693
281,7.5999198487623225
282,7.599570855883947
283,7.5947714472835886
284,7.572146170769887
285,7.566416784533444
286,7.378765997501199
287,7.367767830470894
288,7.3675942127928
289,7.36759007155546
290,7.366000766176742
291,7.347163086655476
292,7.286794243748148
293,7.269977329180919
294,7.268288252398724
295,7.2593895403978115
296,7.1792151006759966
297,7.15874406327189
298,7.153322530777498
299,7.150017491035537
300,7.120605103246512
301,7.115230764545789
302,7.065451613800062
303,7.037066670483202
304,7.0361078293235435
305,7.023220744862911
306,7.023219192120805
307,7.013973068202591
308,6.816900741349101
309,6.815006466401605
310,6.718761014918031
311,6.705414124122296
312,6.700022902460552
313,6.677376713530159
314,6.667603086588793
315,6.619552522167114
316,6.611208181942929
317,6.611178861408507
318,6.459271318812303
